i'm just curious	je suis juste curieuse
you're twisting my words	vous deformez mes paroles
he had a rough childhood	il eut une enfance rude
smoking is not permitted here	fumer n'est pas autorise ici
i'm looking after myself	je prends soin de moi
she began to sing	elle commenca a chanter
you can't prove a thing	vous ne pouvez rien prouver
i'm not alarmed	je ne m'alarme pas
she lost her way	elle perdit son chemin
mary hugged her doll	mary serra sa poupee
i'm not a magician	je ne suis pas magicien
the cat ruined my sofa	la chatte detruisit mon canape
he is very tall	il est fort grand
he comes from england	il vient d'angleterre
watch yourselves	faites attention a vous !
i know this song	je connais cette chanson
your friends are late	vos amies sont en retard
i haven't eaten lunch yet	je n'ai pas encore dejeune
i'll do everything i can	je ferai tout mon possible
i didn't win	je n'ai pas gagne
i lost my flashlight	j'ai perdu ma lampe torche
i was frustrated	j'etais agacee
i'll come if necessary	je viendrai si necessaire
please change the punctuation	veuillez changer la ponctuation
i really enjoyed it	je me suis bien amuse
i think about them often	je pense souvent a eux
it's already late	il est tard
i like short poems	j'aime les petits poemes
i'm not sad	je ne suis pas triste
she sounded mad	elle avait l'air folle
the pizza's on the way	la pizza est en route
she speaks ten languages	elle parle dix langues
we got separated	nous avons ete separes
i hate lawyers	je deteste les avocats
let's not watch tv	ne regardons pas la television
do not disturb her	ne la derange pas
he is incompetent	il est incompetent
do you like robots ?	aimez vous les robots ?
everyone smiled	tout le monde a souri
ghosts exist	les fantomes existent
you're not cooperating	vous ne cooperez pas
your life's in danger	votre vie est en danger
i was impressed	j'ai ete impressionnee
we grew up together	nous grandimes ensemble
i'm good at skiing	je suis bon en ski
i'm doing this for them	je le fais pour eux
everything's taken care of	on s'occupe de tout
be fair	soyez juste !
you're very understanding	vous etes fort comprehensifs
i've finished	j'ai fini
he was very poor	il etait fort pauvre
i am a university student	je suis etudiant a l'universite
after you	apres vous
they're self sufficient	elles sont autosuffisantes
tom put on a coat	tom mit son manteau
we're ready now	nous sommes pretes desormais
let's not forget that	ne l'oublions pas !
you look tired	tu as l'air fatigue
wait here	attends ici
i relied on him	j'ai compte sur lui
we're helpless	nous sommes impuissantes
thank you for your gift	merci pour le cadeau
this rule does not apply	cette regle ne s'applique pas
it was probably not true	ce n'etait probablement pas vrai
i am going to bed	je vais dormir
he has little money	il a peu d'argent
check it out !	verifie !
i will be back soon	je reviens vite
he's rich	il est riche
police arrested one man	la police arreta un homme
they want you dead	elles vous veulent morte
they know your name	ils connaissent votre nom
i suppressed a yawn	j'ai evite de bailler
they're gone	ils sont partis
she's been poisoned	elle a ete empoisonnee
please take some of them	veuillez en prendre quelques uns
don't get angry	ne te fache pas
tom and i'll come together	tom et moi allons ensemble
the vote is unanimous	le vote est unanime
it tastes just right	c'est parfait
nature is cruel	la nature est cruelle
that's quite enough	c'est tout a fait suffisant
i'm beautiful	je suis belle
it's an old picture	c'est une vieille photo
oh i'm terribly sorry	je suis vraiment desole
who yelled ?	qui a hurle ?
we'll be there	on y sera
my stomach hurts	mon estomac me fait mal
they won't help us	ils ne nous aideront pas
i enjoy movies	j'apprecie le cinema
i'm going	je pars
every rule has its exceptions	toute regle a ses exceptions
how did that happen ?	comment est ce survenu ?
watch yourself	fais attention a toi
you won't be fired	vous ne serez pas virees
he sacrificed everything for you	il t'a tout sacrifie
i don't like your attitude	je n'aime pas votre attitude
no one will know	personne ne saura
oops i did it again	et zut j'ai recommence !
i live in kobe	je vis a kobe
you're too skinny	vous etes trop maigrichonnes
i feel very betrayed	je me sens vraiment trahi
were you busy ?	etais tu occupee ?
food will be included	la nourriture sera incluse
i'll miss your cooking	votre cuisine va me manquer
tom lied to the cops	tom a menti aux policiers
you're so sweet	tu es tellement gentille !
are you relaxed ?	etes vous detendu ?
she's wearing a loose coat	elle porte un manteau ample
i love music too	moi aussi j'adore la musique
i like your place	j'aime ton appartement
the well ran dry	le puits s'assecha
i paid for the damage	j'ai paye pour les degats
he is busy	il a a faire
we'll soon find out	on le decouvrira bientot
i'm not joking	je ne blague pas
it happens all the time	ca arrive tout le temps
i fed the dog	j'ai nourri la chienne
wait here for a while	attendez ici un moment
i'm an old man	je suis un vieil homme
you are so childish sometimes	tu es parfois si pueril
i love visiting boston	j'aime visiter boston
look under the seat	regarde sous le siege
why did you stop ?	pourquoi t'es tu arrete ?
tom was very tired	tom etait tres fatigue
don't kid me !	ne me charriez pas !
i saw you yesterday	je vous ai vus hier
tom is a doctor	tom est medecin
i thought you would understand	je pensais que vous comprendriez
please open the door	veuillez ouvrir la porte
he lost his job	il perdit son emploi
we're relaxed	nous sommes detendus
i outrank you	j'ai la preseance sur toi
stand up please	levez vous s'il vous plait
i'll buy a new one	j'en acheterai un nouveau
the kids weren't impressed	les enfants n'etaient pas impressionnes
you aren't invited	tu n'es pas invite
give them to him	donne les lui
it's for you to decide	c'est a vous de decider
i read his book	je lis son livre
running away isn't the answer	s'enfuir n'est pas la solution
it's way too heavy	c'est beaucoup trop lourd
sorry something went wrong	desolee quelque chose a foire
tom will fix it	tom le corrigera
this dog is big	ce chien est massif
please bring it back tomorrow	merci de le ramener demain
what would you like ?	qu'aimerais tu ?
we're all disappointed	nous sommes tous decus
that makes no difference	ca ne fait aucune difference
he keeps his room clean	il garde sa chambre propre
i have a business meeting	j'ai une reunion d'affaires
how is the weather ?	quel temps fait il ?
he breathed deeply	il prit une profonde inspiration
beat it kids !	degagez les gamins !
where's the knife ?	ou est le couteau ?
i was overwhelmed	j'etais bouleverse
i was happy yesterday	hier j'etais heureux
we're contented	nous sommes satisfaits
without you i would've died	sans toi je serais mort
you have been warned	vous avez ete prevenue
you're a doll !	vous etes un amour !
are you excited ?	etes vous enervees ?
i'll trust you	je vous ferai confiance
where is it hidden ?	ou est il cache ?
she talked childishly	elle parla puerilement
they spoke briefly	ils se sont brievement entretenus
it was all over	c'etait fini
they walked around	ils marcherent aux alentours
the windows are open	les fenetres sont ouvertes
how is the weather ?	comment est le temps ?
tom also has a brother	tom a aussi un frere
you've got to wake up	vous devez vous reveiller
i'll go get the broom	je vais chercher le balai
what is its purpose ?	quel est son but ?
give me one good reason	donnez moi une bonne raison
he draws straight lines	il trace des lignes droites
i second the motion	je soutiens la motion
i need advice	j'ai besoin de conseils
tom ordered a drink	tom a commande une boisson
get on with it	continue !
it's a matter of taste	les gouts et les couleurs
you're very timid	vous etes fort craintives
the lake was frozen	le lac etait gele
i find you attractive	je vous trouve attirante
i like all of them	je les apprecie tous
cook for me	cuisine pour moi
my girlfriend is crying	ma petite amie pleure
it's a good rule	c'est une bonne regle
i thought hard	j'y ai pense tres fort
tom came yesterday	tom est passe hier
we're going to play tennis	on va jouer au tennis
that's a very interesting question	c'est une question tres interessante
i'll never forget this incident	je n'oublierai jamais cet incident
don't apologize	ne t'excuse pas
they walked together	ils marcherent ensemble
take this	prenez ca
cows supply milk	les vaches donnent du lait
are you here alone ?	etes vous seul ici ?
she stared at me	elle m'a fixe
tom started climbing	tom commenca a grimper
what a beautiful dress !	quelle belle robe !
do you speak chinese ?	parles tu chinois ?
open your eyes	ouvre les yeux
i didn't go	je n'y suis pas alle
it started to rain	il s'est mis a pleuvoir
it's all very simple	tout est tres simple
i love the sun	j'adore le soleil
you were happy	tu etais heureux
the fire alarm rang	l'alarme incendie sonna
i don't remember it	je ne m'en souviens pas
draw a straight line	dessine une ligne droite
i don't believe it	je n'y accorde pas foi
tom collapsed on the floor	tom s'effondra au sol
that massage felt good	ce massage etait agreable
i don't like this place	je n'aime pas cet endroit
he killed him	il le tua
you're going to lose	vous allez perdre
i misunderstood	j'ai compris de travers
tom had nothing to say	tom n'avait rien a dire
i just got your message	je viens d'avoir ton message
i did it without you	je l'ai fait sans vous
i'm not staying	je ne reste pas
they'll grow	elles grandiront
you need to stop	tu dois arreter
i got my bicycle repaired	j'ai fait reparer ma bicyclette
they stopped talking	elles ont cesse de parler
i am grateful to them	je leur suis reconnaissant
this is mine	il s'agit du mien
when did he go ?	quand est il parti ?
no one's allowed in	personne n'y est admis
that's my car	c'est ma voiture
you have a message	tu as un message
you're the teacher	c'est toi l'enseignante
i'm not available	je ne suis pas disponible
i appreciate the invitation	je suis reconnaissante pour l'invitation
i was miserable without you	j'etais malheureux sans toi
they just beat us	il nous ont simplement battus
i should go	je devrais partir
he's a notorious liar	c'est un menteur notoire
she's a determined woman	c'est une femme determinee
the moon is already out	la lune est deja visible
i'm selfish	je suis egoiste
say it in another way	dis le autrement
no one is talking	personne ne parle
it's all happening so fast	tout se passe tellement rapidement
everything is negotiable	tout est negociable
did you forget ?	as tu oublie ?
i can't wait	je suis impatient
stop speaking in riddles	arrete de parler en enigmes
don't throw away your chance	ne rejette pas ta chance
everything is all right now	tout va bien maintenant
i think this is perfect	je pense que c'est parfait
it's a strange one	c'en est un etrange
are you envious ?	es tu jalouse ?
i must object	je dois emettre une objection
i'm okay	je me porte bien
i had help	j'ai recu de l'aide
tom has a big nose	tom a un gros nez
i could hardly hear him	je pouvais a peine l'entendre
but i wasn't afraid	mais je n'avais pas peur
do you know them ?	les connaissez vous ?
you look smart	vous avez l'air intelligents
nothing is strange	rien n'est etrange
he wants to go	il veut s'en aller
it's your turn	c'est votre tour
i want to surprise him	je veux le surprendre
tom is driving	tom conduit
i like these two	j'aime ces deux ci
you're too loud	vous etes trop bruyant
the light is off	la lumiere est eteinte
he cracked up	il a disjoncte
that's hardly likely	c'est tres improbable
that could come in handy	ca pourrait se reveler utile
i'm confident	j'ai confiance
i deserve better	je merite mieux
i brought you this	je t'ai apporte ceci
do you drink ?	bois tu ?
let him in	laisse le entrer
let's check it out	controlons le
how is your cold ?	comment va votre rhume ?
this is infuriating	c'est exasperant
don't push it	poussez pas le bouchon !
i did not order this	je n'ai pas commande ca
tom just died	tom vient de mourir
can you see tom ?	peux tu voir tom ?
i demand satisfaction	j'exige d'etre satisfait
this is not my ticket	ce n'est pas mon ticket
taxes are too high	les impots sont trop eleves
his reply was negative	sa reponse etait negative
you're very funny	vous etes tres marrants
let's go this way	prenons ici
take the garbage out	sortez les dechets
he made up that story	il inventa cette histoire
i slept on the bus	j'ai dormi dans le bus
anybody can read it	n'importe qui peut le lire
this is foolish	c'est idiot
i knew the risk	je connaissais le risque
we have no complaints	nous n'enregistrons aucune plainte
call home !	appelle a la maison !
i need some light	j'ai besoin de lumiere
you're very emotional	tu es fort emotive
we're getting married	nous nous marions
they robbed me blind	ils m'ont depouille
don't let me down	ne me laissez pas tomber
the situation appears desperate	la situation semble desesperee
have they arrived yet ?	sont ils deja arrives ?
they want this	elles veulent ceci
you've been very helpful	tu as ete tres utile
are you the mayor ?	es tu le maire ?
come on up here	grimpe la !
it works well	ca marche bien
tom had jeans on	tom portait un jean
don't close the door	ne ferme pas la porte
i'll get rid of them	je m'en debarrasserai
we are a family	nous sommes une famille
what are you cooking ?	que cuisines tu ?
you're not fast enough	tu n'es pas assez rapide
don't get up	ne vous levez pas
you must start immediately	tu dois commencer immediatement
it's technically illegal	c'est techniquement illegal
i know these people	je connais ces personnes
i'll leave boston tonight	je quitterai boston ce soir
aren't you hungry ?	tu n'as pas faim ?
we're friends now	nous sommes desormais amis
he demanded better pay	il exigea une augmentation
i reconsidered your proposal	j'ai reevalue ta proposition
don't release that dog	ne lache pas le chien
did you like it ?	l'avez vous aimee ?
he looks suspicious	il a l'air suspicieux
just forget it	oubliez !
clean your room	nettoie ta chambre
he soon betrayed his ignorance	il revela bientot son ignorance
i want a doctor	je veux un medecin
i like geography and history	j'aime la geographie et l'histoire
tom will be jealous	tom va etre jaloux
you look smart	vous avez l'air intelligente
i love your car	j'aime votre voiture
you drive a hard bargain	tu es dure en affaires
the house was ablaze	la maison etait en flammes
are you serious ?	etes vous serieux ?
the soldiers laughed	les soldats rirent
the stripes were horizontal	les rayures etaient horizontales
it is rather warm today	il fait assez chaud aujourd'hui
i helped him yesterday	je l'ai aide hier
tom loves being outdoors	tom adore etre dehors
i brought you a present	je t'ai amene un cadeau
i was all by myself	j'etais absolument seul
it's yours	c'est le votre
we were really excited	nous etions tres excites
i like your necklace	j'aime ton collier
i lay on my bed	j'etais etendue sur mon lit
he speaks english a little	il parle un peu anglais
this blouse is cotton	ce chemisier est en coton
let's all go	allons y toutes !
you should eat vegetables	tu devrais manger des legumes
the lake is big	le lac est grand
i will not be defeated	je ne serai pas defait
you're bossy	tu fais le chef
just answer my question	repondez seulement a ma question
i was threatened	j'ai ete menacee
my father loves my mother	mon pere aime ma mere
it'll go away	ca s'evanouira
that's a very personal question	c'est une question tres personnelle
are you busy now ?	es tu occupe actuellement ?
we're ready now	nous sommes maintenant prets
you drink too much coffee	tu bois trop de cafe
it's as you say	c'est comme tu le dis
tom is drunk	tom est ivre
we had a wonderful time	nous passames un merveilleux moment
i did it without you	je l'ai fait sans toi
is this enough ?	est ce assez ?
he walks fast	il marche vite
i can't see anything	je ne vois rien
she is not wrong	elle n'a pas tort
i need volunteers	j'ai besoin de volontaires
i'm very short	je suis tres petit
they're going to try	elles vont le tenter
i did warn you	je vous avais prevenues
her name slipped my mind	son nom m'a echappe
have another drink	prends une autre boisson !
i'll show you around town	je vous montrerai la ville
don't fret	vous tracassez pas
be ruthless	soyez impitoyables !
we love picnics	nous adorons les pique niques
please come in	veuillez entrer
personal hygiene is very important	l'hygiene personnelle est tres importante
i went inside	j'y suis entre
we will do our best	nous ferons de notre mieux
we've run out of ammunition	nous avons epuise nos munitions
i was sorry	je fus desole
don't be sorry	ne soyez pas desoles !
well that's upsetting	eh bien c'est embetant
i want to say goodbye	je veux dire au revoir
keep quiet	restez tranquille
the students all laughed	tous les etudiants ont ri
he touched my shoulder	il me toucha l'epaule
he's dating my daughter	il sort avec ma fille
there's a catch	il y a un truc
i enjoy playing the blues	j'aime jouer du blues
he picked up the book	il a ramasse le livre
tomorrow is another day	demain est un autre jour
his book inspired me	son livre m'inspira
it's been so many years	ca fait tellement d'annees
i don't have a ticket	je n'ai pas de billet
you're crafty	tu es astucieux
you're early	vous etes matinal
the hostages will be released	les otages vont etre liberes
we must pay the tax	nous devons payer l'impot
i know your type	je connais ton genre
did i embarrass you ?	vous ai je embarrasse ?
you're making me blush	tu me fais rougir
they make a great team	ils forment une grande equipe
everyone was horrified	tout le monde fut horrifie
he was very poor	il etait tres pauvre
try hard	fais un effort
you look bored	tu as l'air de t'ennuyer
i can't feel anything	je ne sens rien
tom never came back	tom ne revint jamais
don't listen to her	ne l'ecoute pas
she closed her diary slowly	elle ferma lentement son journal
i can't sleep	je ne peux pas dormir
still waters run deep	les eaux calmes sont profondes
choose whichever you want	choisis celui que tu veux
i was discharged without notice	j'ai ete licencie sans preavis
please forgive me	veuillez me pardonner
we're being attacked	nous sommes attaquees
aren't you convinced ?	n'es tu pas convaincu ?
i thought she was pretty	je pensais qu'elle etait mignonne
you should meet him	vous devriez le rencontrer
choose your weapon	choisissez votre arme
i'll always be here	je serai toujours ici
this is bad news	ce sont de mauvaises nouvelles
this bicycle is mine	cette bicyclette m'appartient
we waited anxiously	nous avons attendu avec inquietude
it looks good	ca a l'air bien
have yourself a drink	sers toi un verre !
wait a while	attends un moment !
that house is famous	cette maison est celebre
is it important ?	c'est grave ?
he seems interested in her	il semble s'interesser a elle
it was very ugly	c'etait tres laid
i was pardoned	j'ai ete graciee
we're unprejudiced	nous sommes depourvus de prejuges
i handled it	je m'en suis sortie
tom is very good looking	tom est tres beau
the wind has died down	le vent s'est calme
i was humiliated	j'ai ete humilie
i woke you up	je t'ai reveillee
i'm curious	je suis curieux
get out of my office	sors de mon bureau !
get out of my way	ecarte toi de mon chemin
my mother is a lawyer	ma mere est avocat
he speaks french	il parle le francais
don't touch the button	ne touche pas au bouton
i deserve happiness	je merite le bonheur
i'm friends with him	je suis ami avec lui
don't be shy	ne sois pas timide
eat more fruit	mange plus de fruits
you look familiar	tu me dis quelque chose
nothing was funny	rien n'etait drole
i think that's horrible	je pense que c'est affreux
how're you holding up ?	comment resistes tu ?
you look very pale	vous avez l'air tres pale
don't touch the stove	ne touchez pas la cuisiniere
don't be disgusting	ne sois pas degoutante
i'd like to get married	j'aimerais me marier
i ordered fries too	j'ai egalement commande des frites
i'm flabbergasted	je suis sidere
they're mad at you	ils sont furieux apres vous
obviously she's sick	manifestement elle est malade
i'm honest	je suis honnete
he called her bad names	il l'a injuriee
you won't believe this	tu ne le croiras pas
i could kiss you	je pourrais t'embrasser
everybody saw it	tout le monde le vit
i'm sympathetic	j'eprouve de la compassion
the lights went out	les lumieres se sont eteintes
do you have money ?	as tu de l'argent ?
i'm tired of boston	je suis fatiguee de boston
have a look	jetez un il !
you're aggressive	tu es agressive
do you smell something ?	sentez vous quelque chose ?
you're very upset	tu es tres contrariee
you're very understanding	tu es fort comprehensive
you must work together	vous devez travailler ensemble
i confessed my sin	j'ai confesse mon peche
it's always been that way	ca a toujours ete ainsi
i thought you were working	je pensais que vous travailliez
they'll tell you the truth	elles te diront la verite
you don't want to know	vous ne voulez pas savoir
they all cheered	elles acclamerent toutes
be nice to her	sois gentille avec elle !
where are you ?	ou es tu ?
go away	pars !
space travel is dangerous	les voyages spatiaux sont dangereux
almost no one believed her	pratiquement personne ne l'a crue
this sentence is not french	cette phrase n'est pas francaise
where are my slippers ?	ou sont mes pantoufles ?
let's do this properly	faisons le correctement
this is correct	c'est exact
let's clean this up	nettoyons ca !
he stayed up late	il est reste debout tard
we have to be cautious	nous devons etre prudentes
please leave	pars s'il te plait
show me	montre moi !
come quickly !	depechez vous de venir !
this could take a while	ca pourrait prendre un moment
where are you from ?	d'ou viens tu ?
let's sing a happy song	chantons une chanson gaie
we wouldn't stand a chance	nous n'aurions aucune chance
the moon is shining	la lune brille
facebook is blocked in china	facebook est bloque en chine
paper burns easily	le papier brule facilement
who can prevent it ?	qui peut le prevenir ?
do you understand that ?	comprenez vous ca ?
they kissed each other	ils se sont embrasses
it was not an accident	ce n'etait pas un accident
he is a psychic	il est medium
pardon me ?	plait il ?
i had to work	il m'a fallu travailler
you're very helpful	tu es tres serviable
autumn is my favorite season	l'automne est ma saison favorite
this book is interesting	ce livre est interessant
i must concentrate	je dois me concentrer
be punctual	sois ponctuel !
it's no trouble at all	cela ne pose aucun probleme
they tried to escape	ils cherchaient a s'enfuir
make it smaller	rendez la plus petite
a piano is expensive	un piano coute cher
this just isn't like you	cela ne te ressemble pas
my father is a doctor	mon pere est toubib
your cough worries me	ta toux m'inquiete
tom's a doctor	tom est docteur
i like to be here	j'aime me trouver ici
it took all day	cela prit toute la journee
i study korean	j'etudie le coreen
suddenly workers were laid off	soudain ouvriers furent licencies
i'll buy a ford	j'acheterai une ford
i'm finished	j'ai termine
i feel so stupid	je me sens si stupide
i know how to fly	je sais voler
what're you doing ?	que faites vous ?
open up	ouvre
look at all these boxes	regarde toutes ces caisses !
are you lost ?	etes vous perdue ?
you're the teacher	tu es le professeur
tom seems to be sympathetic	tom semble etre sympathique
have you decided ?	vous etes vous decidees ?
you deserve more than that	vous meritez davantage que ca
i make my own rules	je fais mes propres regles
do you recycle ?	pratiquez vous le recyclage ?
he wakes up early	il se leve tot
tom seems nice	tom a l'air gentil
we miss you very much	vous nous manquez beaucoup
she's too loud	elle parle trop fort
i felt scared	je me suis sentis apeure
i recommend it highly	je le recommande chaudement
yes we can go	oui nous pouvons y aller
keep me informed	tenez moi informe !
do what you want	faites ce que vous voulez
maybe it's true	c'est peut etre vrai
we're the same age	nous avons le meme age
that's very good news	ce sont la d'excellentes nouvelles
dead men tell no tales	les morts ne parlent pas
he was invited	il etait invite
i've heard all this before	j'ai deja entendu tout ca
today is a beautiful day	aujourd'hui est un beau jour
tom looked back	tom a regarde en arriere
they need investors	ils ont besoin d'investisseurs
are you that stupid ?	etes vous aussi betes ?
we're certain	nous sommes certains
we discussed the matter	nous avons discute du sujet
you're very angry	tu es tres en colere
you're a wonderful guy	tu es un type genial
that word describes it perfectly	ce mot le decrit parfaitement
i no longer believe it	je ne le crois plus
i have an exam tomorrow	demain j'ai un examen
both of them seem suspicious	ils semblent tous deux suspects
the day is almost over	la journee est presque passee
i walked alone	j'ai marche seul
i need some hangers	j'ai besoin de quelques cintres
they all knew	ils savaient tous
stop tom	arrete tom
prices have jumped	les prix ont bondi
i seldom make mistakes	je commets rarement des erreurs
that's very big	c'est tres grand
please be polite	soyez poli s'il vous plait
ah is an interjection	ah est une interjection
can you hear me ?	m'entendez vous ?
we have two daughters	nous avons deux filles
we're imagining things	nous nous faisons des idees
it gets worse	ca empire
they cultivated the land	ils ont cultive la terre
keep your eye on him	garde l' il sur lui
i'll meet you outside	je te rejoindrai dehors
what's your name ?	comment tu t'appelles ?
do you want this ?	le voulez vous ?
catch me if you can	attrape moi si tu peux
i will return	je reviendrai
did she say it ?	l'a t elle dit ?
i have homework to finish	j'ai des devoirs a terminer
it wasn't mine	ce n'etait pas le mien
they missed tom	tom leur a manque
do you recognize them ?	les reconnaissez vous ?
calm down son	calme toi mon fils !
i was incredibly bored	je me suis incroyablement ennuye
let's take the train	prenons le train de
neither one of them disagrees	aucun d'eux ne le refute
i'm looking for a job	je cherche du travail
they're out to get you	ils sont a tes trousses
i forgot his address	j'ai oublie son adresse
you're selfish	tu es egoiste
tom is perfect for you	tom est parfait pour toi
you're very wise	vous etes tres avise
visit us tomorrow	rends nous visite demain !
i'm sleepy !	je suis fatigue !
you're not interrupting anything	vous n'interrompez rien du tout
i was skeptical	j'etais sceptique
we'll fight	nous combattrons
i'm very happy	je suis tres heureuse
nobody asked	personne n'a demande
you're disgusting	tu es degoutante
he is leaving chicago tomorrow	il quittera chicago demain
is she at home ?	est elle chez nous ?
tom calls mary every night	tom appelle mary chaque soir
get out of bed	sors du lit !
you're nuts !	t'es dingue !
you've been suspended	vous avez ete suspendue
hands off	pas touche !
it's broken	c'est casse
tomorrow is christmas	demain c'est noel
we want to hear it	nous voulons l'entendre
that's very reassuring	c'est tres rassurant
we want jobs	nous voulons des emplois
i will play soccer tomorrow	demain je jouerai au football
get away from there	eloignez vous de la
this is an unexpected surprise	quelle agreable surprise
grab him	attrape le
i'll show you	je te montrerai
i received your note	j'ai recu ta note
tom's funny	tom est rigolo
i can see the light	je peux voir la lumiere
i woke up	je me suis eveille
she made me a cake	elle me concocta un gateau
there's no one sitting here	personne n'est assis ici
don't respond to that	n'y reponds pas !
i extended my holiday	j'ai prolonge mes vacances
we're very serious	nous sommes tres serieux
you people are amazing	vous etes des gens etonnants
you are my hero	vous etes mon heros
help me print this	aidez moi a imprimer ceci
i like neither of them	je n'aime aucun d'entre eux
my jeans shrank	mon jeans a retreci
i'm a beginner too	je suis egalement debutant
this costs too much	ceci coute trop
i'll open it	je l'ouvrirai
there isn't any solution	il n'y a aucune solution
you're still alive	vous etes toujours vivante
that's a depressing story	c'est une histoire deprimante
tom really likes traveling	tom aime beaucoup voyager
i hid behind the tree	je me cachai derriere l'arbre
the money is gone	l'argent a file
who is that gentleman ?	qui est ce monsieur ?
we didn't think of that	nous n'y avons pas pense
this seems risky	cela semble etre risque
my battery is almost dead	ma batterie est presque morte
are you hurt ?	es tu blesse ?
this is smaller than that	c'est plus petit que ca
we saw you	nous vous avons vue
you need to be careful	il vous faut etre prudentes
i know where we are	je sais ou nous sommes
tom will fix it	tom le reparera
i ended up winning	je finis par gagner
grab this	attrape ca !
he made me go	il m'a fait partir
are you still happy ?	es tu toujours heureuse ?
are you being punished ?	es tu puni ?
they have no choice	elles n'ont pas le choix
he is not stupid	il n'est pas idiot
we'll paint it	nous le peindrons
what a shame !	quelle honte !
i want to go there	je veux y aller
i saw you	je vous ai vus
i'm feeling good	je me sens bien
you have my attention already	vous avez deja mon attention
they're afraid of him	ils ont peur de lui
they all did it	elles le firent toutes
i think they're happy	je pense qu'ils sont heureux
they burned	elles ont brule
birds have wings	les oiseaux ont des ailes
i did you a favor	je vous ai rendu service
i live there by myself	j'y vis seul
it's starting to cool off	il commence a faire froid
in my opinion he's right	je crois qu'il a raison
we're not friends anymore	nous ne sommes plus amis
she's pregnant with twins	elle est enceinte de jumeaux
let's clean this up	nettoyons cela !
he is my old friend	c'est mon vieil ami
i have a glass eye	j'ai un il de verre
we have to warn them	nous devons les avertir
that could've been prevented	cela aurait pu etre evite
she was naive	elle etait credule
they could've killed you	elles auraient pu vous tuer
i had a good coach	j'ai eu un bon entraineur
don't do it !	ne le fais pas !
i waited for ten minutes	j'ai attendu dix minutes
this is life !	c'est la vie !
i'm popular	je suis populaire
everything looked nice	tout avait l'air joli
we're up early	nous sommes debout tot
the beach was crowded	la plage etait bondee
this is a beautiful house	ceci est une belle maison
it's really awesome	c'est vraiment genial
i wish you luck	je vous souhaite bonne chance
i made dinner	j'ai prepare le dejeuner
they found out	elles ont decouvert le truc
i'm out of control	je suis incontrolable
he is a dreamer	il est reveur
we are not alone	nous ne sommes pas seuls
don't eat too much	ne mange pas trop
i'm writing a novel	j'ecris un roman
just answer the question	repondez simplement a la question
that's a lot of work	c'est beaucoup de boulot
he's after me	il me poursuit
my university has a dorm	mon universite a un dortoir
what could i do ?	que pouvais je faire ?
now drink up	maintenant bois d'un coup !
that's not a secret	ce n'est pas un secret
they admired the lovely scenery	ils admirerent l'adorable paysage
let go of the bottle	lache la bouteille !
tom has a wonderful voice	tom a une voix magnifique
i want to look different	je veux avoir l'air different
they lost again	elles ont encore perdu
we're not ready	nous ne sommes pas pretes
he was panting	il haletait
i laughed at his joke	j'ai ri a sa blague
there is no doubt	il n'y a aucun doute
it's cold in here	il fait froid la dedans
you came too late	vous etes venus trop tard
she was appointed chairperson	elle fut nommee presidente
she dumped him	elle l'a plaque
give me a minute	donne moi une minute !
don't let me down	ne me laisse pas tomber
we're done	nous avons termine
she knew the teen	elle connaissait l'adolescent
tom sang me a song	tom me chanta une chanson
i have needs	j'ai des besoins
you're very brave	tu es fort courageux
i'm sore all over	j'ai mal partout
is it nearby ?	est ce proche ?
you're not fired	tu n'es pas vire
i was sure of it	j'en etais sure
let's turn back	retournons !
we're not perfect	nous ne sommes pas parfaits
those colors go well together	ces couleurs vont bien ensemble
i believe you are honest	je te crois honnete
the troops were annihilated	les troupes furent aneanties
is anyone hurt ?	quelqu'un est il froisse ?
that's very impressive	c'est tres impressionnant
no one moved	personne ne bougea
i went to school	j'ai frequente l'ecole
it's no longer available	ce n'est plus disponible
they're not expensive	elles ne sont pas onereuses
what did he say ?	qu'a t il dit ?
the net is huge	le filet est enorme
you knew i was married	vous saviez que j'etais marie
we're available	nous sommes disponibles
i don't understand german	je ne comprends pas l'allemand
the lock must be broken	la serrure doit etre brisee
it's five o'clock	il est cinq heures
i'll just leave this here	je laisserai simplement ceci ici
good for you	c'est bien pour toi
he rejected our offer	il a rejete notre proposition
her cardigan was unbuttoned	son cardigan etait deboutonne
we're just nervous	nous sommes simplement nerveux
we don't have a problem	nous n'avons pas de probleme
i will choose one	j'en choisirai une
life is short	la vie est breve
you have gone too far	tu es alle trop loin
tom is falling asleep	tom s'endort
do you like music ?	aimes tu la musique ?
it was fabulous	ce a ete fabuleux
his daughter is sick	sa fille est malade
he bores everybody	il ennuie tout le monde
tom isn't a hero	tom n'est pas un heros
i know what they're doing	je sais ce qu'elles font
we're all witnesses	nous sommes tous temoins
hippopotamuses love water	les hippopotames aiment beaucoup l'eau
i don't like your boss	je n'aime pas votre patronne
something has to be done	il faut faire quelque chose
try this sauce	essaie cette sauce
i warned you once	je t'ai prevenue une fois
i've had enough	j'en ai assez vu
tom has been behaving oddly	tom se comporte bizarrement
he has nobody to consult	il n'a personne a consulter
i saw you	je te vis
you're very intelligent	vous etes tres intelligente
he's not one of us	il n'est pas des notres
i heard something	j'ai entendu quelque chose
everybody's happy	tout le monde est heureux
please help me	je vous prie de m'aider
of course i understand	bien sur je comprends
you're no different	tu n'es pas differente
leave it to me	laisse moi m'en charger
